EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;TOLL_POINT_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
3549365;1500558986;442.305;Virtual;MINISTRY OF TRANSPORTATION;9b6cb028c5084ecd8a0906e818b4f130;20130527154315;20210731081808;5117
4068473;1512086725;750.244;Virtual;MINISTRY OF TRANSPORTATION;0740581f03254880bbc239f5e3a07dfe;20120405112553;20210731081808;5118
4068568;1510694622;250.000;Virtual;MINISTRY OF TRANSPORTATION;75c56b2cbaef4f33aac32e40d6b0630c;20120801145730;20210731081808;5120
6542119;4068444;740.224;Virtual;MINISTRY OF TRANSPORTATION;cb89bda7d64541c9aa434eeb54a3cac6;20191217103618;20210731081808;5121
6542130;1500365785;866.622;Virtual;MINISTRY OF TRANSPORTATION;2d6a7fdc2a484545bcdfcb39e961a4c2;20191217103931;20210731081808;5122
6542335;6411613;760.200;Virtual;MINISTRY OF TRANSPORTATION;e87a35348bcd4152b69144db5e042378;20191106144502;20210731081808;5123
6542336;6411624;188.296;Virtual;MINISTRY OF TRANSPORTATION;11c00cbfd5e9473090351005908d7093;20191106144726;20210731081808;5124
7437353;7437313;909.496;Virtual;ONTARIO ROAD NETWORK;6a69564d31e24993af126969ec5a0dcd;20191205100231;20191212100215;4857
7437354;7437304;579.147;Virtual;ONTARIO ROAD NETWORK;95caa2e1591a4715a335658216808635;20191205100308;20191212100215;4858
7435215;7432143;830.594;Virtual;ONTARIO ROAD NETWORK;28949400303d4762bd5e37fa62d857b6;20191106143323;20191212100215;4859
7600230;7599776;567.768;Virtual;ONTARIO ROAD NETWORK;ea1ef1ea73284107b7e3107a57e3ae8d;20210412132913;20210415090954;4917
7600242;7599728;814.742;Virtual;ONTARIO ROAD NETWORK;736291c009844c48a831790178df853b;20210412132922;20210415090954;4918
7600232;7599753;408.801;Virtual;ONTARIO ROAD NETWORK;20c8dc78b08d4527b539f3eb7acfb774;20210412132851;20210415090954;4919
7600234;7599736;732.055;Virtual;ONTARIO ROAD NETWORK;5974ea7ef0474eb3b485f7695f71166e;20210412132839;20210415090954;4920
7600241;7599785;543.813;Virtual;ONTARIO ROAD NETWORK;ae81cfc50f574dd79ceca9fd0ed57f25;20210412132945;20210415090954;4921
7600231;7599745;261.140;Virtual;ONTARIO ROAD NETWORK;0df66a3d221b4b08a231a4053d83698c;20210412132931;20210415090954;4922
6542836;6413715;339.667;Virtual;MINISTRY OF TRANSPORTATION;0db25f2bdc344c86b469e18a82aa9a7b;20191106144710;20210731081808;5125
6542987;6408970;769.352;Virtual;MINISTRY OF TRANSPORTATION;a9165e14db094acda046aea241e1aaf9;20191003113554;20210731081808;5126
7435128;6413759;399.937;Virtual;ONTARIO ROAD NETWORK;0c95d4b947424c9a97018d54c3121b62;20191106144740;20210731081808;5127
1506096812;1500419863;378.777;Virtual;MINISTRY OF TRANSPORTATION;bbd5e6c3615b41f9897a6dfe9929b057;20120330142707;20210731081808;5128
1506096767;1500431468;944.274;Virtual;MINISTRY OF TRANSPORTATION;89ef418ae2224619be5aa2b7d83f3b0a;20120208114547;20210731081808;5129
1506096818;1500682775;176.850;Virtual;MINISTRY OF TRANSPORTATION;a6b2c54650144217b9a58f25658a8b62;20190114143450;20210731081808;5130
1506096716;1500315024;271.220;Virtual;MINISTRY OF TRANSPORTATION;857fc61643b44196abc23667589216ca;20120203142958;20210731081808;5131
1506096782;1500333317;219.736;Virtual;MINISTRY OF TRANSPORTATION;28e899393e3641e5b1b189aa12bd72c4;20120412112005;20210731081808;5132
1506096792;1500378603;541.851;Virtual;MINISTRY OF TRANSPORTATION;7ad84787b057486bb10c80ae6f744131;20110504120311;20210731081808;5133
1506096841;1500427297;224.643;Virtual;MINISTRY OF TRANSPORTATION;bb5a0f79a27f45b7b9d5013871687b0b;20130527150240;20210731081808;5134
1506096742;1500576480;512.207;Virtual;MINISTRY OF TRANSPORTATION;00fd903e4235437a8348cd8acb442908;20120208113817;20210731081808;5135
1506096683;1500657338;304.464;Virtual;MINISTRY OF TRANSPORTATION;7f39f9256fdf4f07a8f07e392dd8d344;20130527153215;20210731081808;5136
1506096736;1500687515;571.652;Virtual;MINISTRY OF TRANSPORTATION;b361a7cc506a4c8ea97dbb612233f5ea;20120807110939;20210731081808;5137
3549355;1500618739;114.359;Virtual;MINISTRY OF TRANSPORTATION;a2d53cf144714f25b86c202795f33dba;20120803133720;20210731081808;5138
3549367;1500620853;462.040;Virtual;MINISTRY OF TRANSPORTATION;cee84a9c00474e088d9407617457873a;20120803151756;20210731081808;5139
4068464;1500422399;527.157;Virtual;MINISTRY OF TRANSPORTATION;a1eb893007d84e989225e1b17c1f020e;20120412114405;20210731081808;5140
4068558;1500504758;275.914;Virtual;MINISTRY OF TRANSPORTATION;2ed8e3a5118f4201bb418f54db1d9176;20120801142514;20210731081808;5141
4068562;1500650871;303.782;Virtual;MINISTRY OF TRANSPORTATION;5cdd4d5f11a94d6b8e301ca4972a56df;20120801143003;20210731081808;5142
4068563;1508314813;297.711;Virtual;MINISTRY OF TRANSPORTATION;201da272774e4b1dbfbde2fe41ead380;20120801142343;20210731081808;5143
4068566;1500425334;310.727;Virtual;MINISTRY OF TRANSPORTATION;c809cde7cc474634bf2e275421fb2558;20120801144608;20210731081808;5144
4068571;1500435715;801.183;Virtual;MINISTRY OF TRANSPORTATION;64a351ba43e440848bdb09c01703d951;20120802090927;20210731081808;5145
4068583;1500494022;629.531;Virtual;MINISTRY OF TRANSPORTATION;3813ac813d8f469fad06b2e7096e4c7c;20120802135252;20210731081808;5146
5664551;7072790;88.431;Physical;MINISTRY OF NATURAL RESOURCES AND FORESTRY;08b7d59a42394235a4d6f45e8218054a;20180628094347;20210731081808;5147
6542263;6410211;1068.766;Virtual;MINISTRY OF TRANSPORTATION;dfe935fe37a94a548695da8c49e52bcd;20191003111854;20210731081808;5148
6542328;6411591;426.609;Virtual;MINISTRY OF TRANSPORTATION;cbcf5a5dd0d34c5b82f2dcc376324f76;20191106144421;20210731081808;5149
6543047;6408880;217.383;Virtual;MINISTRY OF TRANSPORTATION;a039ab2f26e44332a5edc412c73ed1ed;20191003115854;20210731081808;5150
1506096816;1500450395;319.508;Virtual;MINISTRY OF TRANSPORTATION;1db15be154054b89ac9ae51299190d3f;20181221110148;20210731081808;5151
1506096854;1500529708;349.539;Virtual;MINISTRY OF TRANSPORTATION;b0254dd3ff1a428a8854ecc7b4ad6d7b;20120207134527;20210731081808;5152
1506096696;1500617312;367.693;Virtual;MINISTRY OF TRANSPORTATION;b7761c1c484748b4b71ff07e87c4faa7;20120802103958;20210731081808;5153
1506096843;1500400683;248.770;Virtual;MINISTRY OF TRANSPORTATION;8c398f412f7646f3993454bc33f37109;20130527150647;20210731081808;5154
1506096711;1500455543;433.811;Virtual;MINISTRY OF TRANSPORTATION;acb2ab6801874c9494bd64c8e5aef16d;20120803145300;20210731081808;5155
1506096727;1500525893;385.569;Virtual;MINISTRY OF TRANSPORTATION;808c9b68460642f1a5b863117618e216;20120807095339;20210731081808;5156
1506096789;1500544271;174.368;Virtual;MINISTRY OF TRANSPORTATION;0b433761a3544afb81e9e51e13ba76ec;20120410104517;20210731081808;5157
