EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;ROUTE_NAME_ENGLISH;ROUTE_NAME_FRENCH;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
5632192;1500423591;0.000;1558.296;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20210125121421;20210731081808;293526
5632202;1500686932;0.000;61.996;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160311131028;20210731081808;293527
5632233;1500585550;0.000;258.330;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111717;20210731081808;293528
5632254;1500567913;0.000;617.842;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111716;20210731081808;293529
5632259;1500741336;0.000;90.978;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111722;20210731081808;293530
5632278;1500380600;0.000;1582.983;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130527111721;20210731081808;293531
5632306;1500481884;0.000;949.223;Bluewater Veterans Highway;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160919155626;20210731081808;293533
4155427;1506924352;0.000;82.297;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20130326111821;20210731081808;293534
4155487;1500490453;0.000;632.220;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110328143926;20210731081808;293536
4155506;1500389508;0.000;163.059;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170424104551;20210731081808;293539
4155509;1500535751;0.000;2264.806;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170424105058;20210731081808;293540
4155511;1500378297;0.000;77.503;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170508160410;20210731081808;293541
4155515;1500523347;0.000;1152.822;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20170508155126;20210731081808;293542
4155521;1500375635;0.000;100.157;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20150203120022;20210731081808;293543
4155537;1500444730;0.000;101.584;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20140428142003;20210731081808;293544
4155539;1500645143;0.000;265.957;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20150127144047;20210731081808;293545
