EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;STRUCTURE_TYPE;STRUCTURE_NAME_ENGLISH;STRUCTURE_NAME_FRENCH;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
3318;1500356267;370.117;436.343;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;a733495a7a454fc192b447ed17720330;20130408131150;20210731081808;239134
6914;1500355770;329.684;353.871;Bridge;;;;0d3374551a5f45bc80b201811a0a8b8d;20090514130151;20210731081808;239135
11398;1500359116;124.098;185.153;Bridge;;;;613cac9d33f44211852ad9f60ab87505;20190819114243;20210731081808;239136
10864;1500354036;1155.000;1182.000;Dam;;;;64891677ea4444018344729931ec040c;20130403113620;20210731081808;239137
7895;1500356651;406.232;422.508;Bridge;;;;a49f18ea5e1243ddb98790937e062b41;20090514130151;20210731081808;239138
8518;1500351780;29.813;82.087;Bridge;;;;753cd07954124fd886056c227a3b9b15;20150611134834;20210731081808;239139
3636;1500354940;833.620;843.103;Bridge;;;;b86a1e40da5749d8b935c282c257e71d;20120213141124;20210731081808;239145
4563;1500357843;369.576;387.439;Bridge;;;;ea18b397833047869dab43c904ee1f28;20130311135723;20210731081808;239146
9406;1500364021;101.177;120.509;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;d18cc690b83245929310433e0c3e6534;20150102093019;20210731081808;239147
8843;1500360075;864.607;875.781;Bridge;;;;97381260caff4bdd88ce1d6a826a68bd;20120306143520;20210731081808;239148
6948399;1500352436;110.124;186.230;Bridge;;;ONTARIO ROAD NETWORK;66e2953ac1f6442b9753bf25fdd8423c;20181218151734;20210731081808;239149
4630;1500358067;430.577;495.311;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;edab6d5353ae4a6d98bfc78a25fc520f;20130415112921;20210731081808;239150
10172;1500360591;1828.166;1822.159;Bridge;;;;b54fdb3b69474a5883411874cdb03c18;20180405122457;20210731081808;239151
8853;1500370844;1375.978;1387.679;Bridge;;;;869c301113704de4b7c9444acd3f7dd7;20090514130151;20210731081808;239152
10091;1500363569;132.647;146.064;Bridge;;;;a0aab63af4fe46e38c926ee4eed2a835;20090514130151;20210731081808;239153
11594;1500363574;1124.239;1204.885;Bridge;;;;a9dccd8688af4c38bb68db91bd125fdc;20151118100138;20210731081808;239154
