EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;BLOCKED_PASSAGE_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1502526758;1500604372;57.818;Removable;;1d96d5e6b2214b39b30d9dcfe3a7044e;20190710111747;20210731081808;5726967
6789271;6788641;0.000;Removable;ONTARIO ROAD NETWORK;495d194b369e469c9776335d88fb7733;20171106163106;20191011150817;5722818
1502526784;1500612357;289.058;Removable;;eccba15324cb4b52b0cc99ed81bb33d9;20150707091818;20210731081808;5726968
1502524296;1500636547;213.630;Removable;;db48c90cadf04d84b588433b2d10734c;20090123095704;20210731081808;5726970
1502524446;1500642959;0.000;Removable;;cc097838b6ff481e8a2f03235b5e88e5;20160901132048;20210731081808;5726971
1502526416;1500656299;1714.894;Removable;;5e14f36681e745c792f4ed50697d5440;20180410122342;20210731081808;5726972
6415729;6415685;6.038;Removable;CITY OF BROCKVILLE;cf8409b34f924a9aa79f2ec649b46964;20160711093709;20191011150817;5722842
1502524031;1500666429;538.737;Removable;;545230e35dde4207b7271e2160ea8cc0;20090123095704;20210731081808;5726974
1502523915;1500686575;17.030;Removable;;c770fe424800451fb05587cb3e0baffc;20090123095704;20210731081808;5726975
1502523227;1500693203;37.371;Removable;;653ddadd319245d487410c67d8406769;20090123095704;20210731081808;5726976
1502524309;1500700920;25.395;Removable;;422770076d014cb78a063fb7eb6a67e0;20121016095453;20210731081808;5726978
1502523867;1500711552;285.092;Removable;;f40c9e534caf403b950aab54c28fa58e;20121030113804;20210731081808;5726979
1502524385;1500715474;0.000;Removable;;bdfb1339923344358f2bc2383651a9c5;20090123095704;20210731081808;5726980
1502523514;1500728391;33.108;Removable;;7481ebf7e03646a6ad19300ecc7e8db9;20090123095704;20210731081808;5726981
1502523214;1500737345;0.000;Removable;;6edf37bb311844f1b8829c57866122c4;20090123095704;20210731081808;5726982
1502524095;1500729516;0.000;Removable;;2ee487061a45441fa02ba67a1386c3ea;20090123095704;20210731081808;5726983
1502527154;1500744971;137.758;Removable;;e0ea2a3fed1f4adca900df6d9150c81e;20120117153614;20210731081808;5726984
1502524026;1508045003;425.764;Removable;;bdd53213e4c3438390f4b98d48520f91;20090123095704;20210731081808;5726985
1502523745;1508126073;15913.009;Removable;;7d48fd8e724a4bab9198f3e5a3eae0dd;20100622141555;20210731081808;5726988
1502524699;1500512254;7.235;Removable;;521ce28c1f864c0a80abbc1f0f64f843;20110503161510;20210731081808;5726990
1502522938;1500521137;40.257;Removable;;ecc9a368904e491dab7f2303e9a88f41;20140226134337;20210731081808;5726991
1502524536;1500316254;0.000;Removable;;9d7a143266e14e28add8042676bc5f81;20090123131209;20210731081808;5726992
